Key,English,Dutch
CardDescription.Social,"This means: when you get the most energy from being curious, doing new things, empathising with others and being together.","Dit betekent: als je de meeste energie krijgt van nieuwsgierig zijn, nieuwe dingen doen, meevoelen met anderen en samen zijn."
CardDescription.Active,"This means: when you get the most energy from setting things in motion and making things happen. Creating or constructing things, getting things done.","Dit betekent: als je de meeste energie krijgt van dingen in beweging zetten en realiseren. Dingen maken of bouwen, voor elkaar krijgen."
CardDescription.Surprising,"This means: when you get the most energy from discovering new things, exploring in creative ways, sharing inspiration and curiosity.","Dit betekent: als je de meeste energie krijgt van nieuwe dingen ontdekken, op creatieve wijze onderzoeken, inspiratie delen en nieuwsgierigheid."
CardDescription.Warm,"This means: when you get the most energy from being warm and sociable, helping others, being compassionate and engaging with others.","Dit betekent: als je de meeste energie krijgt van warmte en gezelligheid, anderen helpen, meevoelen en betrokken zijn met anderen."
CardDescription.Growth,This means: when you get the most energy when things are in motion and moving forward. That things are being achieved too.,Dit betekent: als je de meeste energie krijgt wanneer de boel in beweging is en vooruit gaat. Dat dingen gerealiseerd worden ook.
CardDescription.Create,"This means: when you get the most energy from creating, building and doing things. Not so much from getting the result itself.","Dit betekent: als je de meeste energie krijgt van het maken, uitwerken en doen van dingen. Niet zozeer van het resultaat behalen zelf."
CardDescription.Playful,"This means: when you get the most energy from playing, acting crazy and being free. That also includes anything new and different.","Dit betekent: als je de meeste energie krijgt van spelen, gek en ongedwongen zijn. Alles wat nieuw is ook."
CardDescription.Curious,"This means: when you get the most energy from puzzling, exploring and discovering. Being curious about people and sensing others well.","Dit betekent: als je de meeste energie krijgt van puzzelen, onderzoeken en ontdekken. Nieuwsgierig zijn naar mensen en anderen aanvoelen."
CardDescription.Empathy,"This means: when you get the most energy from people who really understand and feel you, but don't necessarily help you.","Dit betekent: als je de meeste energie krijgt van mensen die jou echt begrijpen en aanvoelen, jou niet per se helpen."
CardDescription.Helpful,This means: when you get the most energy from people who actually help and support you. Not necessarily feel or understand you well.,Dit betekent: als je de meeste energie krijgt van mensen die jou echt helpen en ondersteunen. Niet per se jou goed aanvoelen of begrijpen.
CardDescription.Progressive,This means: when you get the most energy from progress and everything that is in motion. That things moving into a clear direction. An Outcome!,Dit betekent: als je de meeste energie krijgt van vooruitgang en dat alles in beweging is. Dat dingen ergens heen gaan. Een duidelijke richting. Resultaat!
CardDescription.Persevere,"This means: when you get energy from putting your teeth into something and not giving up. Whether it will succeed or not, you keep going!","Dit betekent: als je energie krijgt van je tanden ergens inzetten en niet opgeven. Of het nou gaat lukken of niet, je zet door!"
CardDescription.Sense,This means: when you get the most energy from doing things that are really useful and make sense. Anything else attracts you less.,Dit betekent: als je de meeste energie krijgt van dingen doen die echt nuttig zijn en zin hebben. Andere dingen trekken je minder aan.
CardDescription.Right,This means: when you get the most energy from doing things that are thorough. From making things that are well put together. Well completed or according to plan.,Dit betekent: als je de meeste energie krijgt van dingen doen die grondig zijn. En ook van dingen maken die goed in elkaar zitten. Goed afgewerkt. Volgens plan.
