Key,English,Dutch
Card.IntroSoft,I like to start with my soft side,Ik wil mijn zachte kant ontdekken
Card.IntroHard,I like to start with my hard side,Ik wil mijn harde kant ontdekken
Card.Soft,Soft,Zacht
Card.HardSide,Hard side,Hard kant
Card.Hard,Hard,Hard
Card.SoftSide,Soft side,Zachte kant
Card.Social,Discovering and Social,Ontdekkend en Sociaal
Card.Active,Active and Building,Actief en Bouwend
Card.Surprising,Inspiration and Creativity,Inspiratie en Creativiteit
Card.Warm,Warmth and Cosiness,Warmte en Gezelligheid
Card.Growth,Forward and Growth,Voorwaarts en Groei
Card.Create,Create and Make it happen,Maken en Uitwerken
Card.Playful,Playful,Spelen
Card.Curious,Curious,Nieuwsgierig
Card.Empathy,Empathic,Meevoelen
Card.Helpful,Helpful,Helpen
Card.Progressive,Progressive,Vooruit-strevend
Card.Persevere,To Persevere,Doorzetten
Card.Sense,It must make sense,Het moet zin hebben
Card.Right,It must be right,Het moet kloppen
