Key,English,Dutch
Results.CongratsSoft,Congratulations! Your soft side is:,Gefeliciteerd! Je zachte kant is:
Results.CongratsHard,Congratulations! Your hard side is: ,Gefeliciteerd! Je harde kant is:
Results.Continue,"Yes, continue","Yes, ga verder!"
Results.Replay,"No, replay","Nee, speel opnieuw"
Results.Question,Does it feel good?,Voelt dit goed?
Results.ChooseCard,Which one is the one you can never miss?,Welke van deze kun je echt niet missen?
Results.ChooseSide,Is that your soft or hard side?,Is dit jouw harde of jouw zachte kant?
Results.AboutMe,About me,Over mij
Results.Matches,What places & people match me?,Welke mensen en plekken matchen mij?
Results.Balance,How do I get in balance?,Hoe kom ik in balans?
Results.LearnMore,More about me,Meer over mij
Results.FitMe,How does it work for me?,Hoe werkt dit voor mij?
Results.SaveResult,Save Result,Bewaar resultaat
Results.IntuitiveTitle,Intuitive,Intuïtief
Results.IntuitiveDescDetailed,"You probably get more energy from things and people who feel very close. Who are more gentle and sensitive. Doing things by feeling is very important to you. With openness and curiosity. You like to discover new things. You also like to do things mindfully and in peace. You like to live in the moment and are sociable and respectful. You have a more gentle, feminine energy. By all means, this has nothing to do with whether you are male or female. Trust your intuition.","Jij krijgt waarschijnlijk meer energie van dingen en mensen die heel dichtbij voelen. Die milder en sensitiever zijn. Dingen op gevoel doen is heel belangrijk voor je. Openheid en nieuwsgierigheid. Je ontdekt graag nieuwe dingen. Ook doe je dingen graag met aandacht en rust. Je leeft graag in het moment en bent sociaal en respectvol. Je hebt wat meer zachte, vrouwelijke energie. Dit heeft trouwens niks te maken met of je man of vrouw bent. Vertrouw op je intuïtie. "
Results.IntuitiveHelpfulPlayful,"You are spontaneous and strong-willed. You are also involved with others. You also like to walk your own path, with this you can inspire others. Very nice!",Je bent spontaan en eigenzinnig. Daarnaast ben je ook betrokken met anderen. Je loopt ook graag je eigen weg waarbij je anderen goed kunt inspireren. Heel mooi!
Results.IntuitiveEmpathicCurious,"You feel others well and can connect with them deeply. You are investigative and discovering. You are also inventive, which is a beautiful and valuable combination.","Jij voelt anderen goed aan en kunt ze diep raken. Je bent onderzoekend en ontdekkend. Ook ben je inventief, een mooie en waardevolle combinatie."
Results.IntuitiveEmpathicPlayful,"Wonderful! You feel others very well and you are spontaneous and quirky. You walk your own path and can inspire others to do the same. In addition, you are very open and empathetic. As a result, people really feel understood when talking to you.",Prachtig! Jij voelt anderen goed aan en je bent spontaan en eigenzinnig. Jij loopt jouw eigen weg en kunt anderen inspireren om dat ook te doen. Daarnaast ben je heel open en inlevend waardoor mensen zich echt begrepen voelen bij jou.
Results.IntuitiveHelpfulCurious,You are investigative and you feel a lot. You are also very involved with the people around you. You enjoy helping others and are very good at inspiring them.,Je bent onderzoekend en voelt veel. Daarnaast ben je ook heel betrokken met de mensen om je heen. Je helpt anderen graag en kunt ze erg goed inspireren.
Results.IntuitiveBalanceHelpfulCurious,"Do you recognise this? That sometimes you HELP too much and forget yourself? Or that you are so CURIOUS that you stop moving forward? You don't have to judge yourself anymore because from now on you can start to balance! Are you HELPING too much? Then use your positive CURIOUS strength more and come into balance. Are you too CURIOUS? Start HELPING yourself and others and start moving! No need to hold back anymore! From now on, pitfalls are a thing of the past, how cool is that!","Herken je dat? Dat je soms teveel HELPT en je jezelf vergeet? Of dat je zo NIEUWSGIERIG bent dat je niet meer in beweging komt? Je hoeft jezelf niet meer te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te veel aan het HELPEN? Zet dan je positieve NIEUWSGIERIGE kracht meer in en kom in balans. Ben je te NIEUWSGIERIG? Start lekker met HELPEN en kom in beweging! Je hoeft je niet meer in te houden! Vanaf nu zijn valkuilen verleden tijd, hoe gaaf is dat!"
Results.IntuitiveBalanceHelpfulPlayful,Do you recognise this? That sometimes you HELP too much and forget yourself? Or that you are so PLAYFUL that it turns into chaos? You don't have to judge yourself anymore because from now on you can start to balance! Are you HELPING too much? Then use your positive PLAY strength more and get into balance. Are you too PLAYFUL? Start HELPING nicely and the focus will come back naturally! There is no need to hold back any longer! Pitfalls will be history from now on :-),Herken je dat? Dat je soms teveel HELPT en je jezelf vergeet? Of dat je zo SPEELS bent dat het een chaos wordt? Je hoeft jezelf niet meer te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te veel aan het HELPEN? Zet dan je positieve SPEELSE kracht meer in en kom in balans. Ben je te SPEELS? Start lekker met HELPEN en de focus komt als vanzelf! Je hoeft je niet in te houden! Valkuilen zijn vanaf nu verleden tijd :-)
